"filename", "language", "(Unsupported)", "Java", "Batch", "Markdown", "comment", "blank", "total"
"f:\GitHub Repositories\JavaButBetter\.gitattributes", "(Unsupported)", 0, 0, 0, 0, 0, 0, 0
"f:\GitHub Repositories\JavaButBetter\JavaBB.jar", "(Unsupported)", 0, 0, 0, 0, 0, 0, 0
"f:\GitHub Repositories\JavaButBetter\LICENSE", "(Unsupported)", 0, 0, 0, 0, 0, 0, 0
"f:\GitHub Repositories\JavaButBetter\README.md", "Markdown", 0, 0, 0, 1, 0, 2, 3
"f:\GitHub Repositories\JavaButBetter\TODO.md", "Markdown", 0, 0, 0, 65, 0, 8, 73
"f:\GitHub Repositories\JavaButBetter\build.bat", "Batch", 0, 0, 17, 0, 5, 7, 29
"f:\GitHub Repositories\JavaButBetter\compiler\AccessMod.class", "Java", 0, 15, 0, 0, 0, 0, 15
"f:\GitHub Repositories\JavaButBetter\compiler\AccessMod.java", "Java", 0, 9, 0, 0, 0, 3, 12
"f:\GitHub Repositories\JavaButBetter\compiler\Alias.class", "Java", 0, 10, 0, 0, 0, 0, 10
"f:\GitHub Repositories\JavaButBetter\compiler\Alias.java", "Java", 0, 14, 0, 0, 0, 3, 17
"f:\GitHub Repositories\JavaButBetter\compiler\Class.class", "Java", 0, 17, 0, 0, 6, 0, 23
"f:\GitHub Repositories\JavaButBetter\compiler\Class.java", "Java", 0, 25, 0, 0, 0, 3, 28
"f:\GitHub Repositories\JavaButBetter\compiler\CompResult.class", "Java", 0, 26, 0, 0, 0, 1, 27
"f:\GitHub Repositories\JavaButBetter\compiler\CompResult.java", "Java", 0, 31, 0, 0, 0, 3, 34
"f:\GitHub Repositories\JavaButBetter\compiler\Compiler.class", "Java", 0, 154, 0, 0, 173, 2, 329
"f:\GitHub Repositories\JavaButBetter\compiler\Compiler.java", "Java", 0, 879, 0, 0, 0, 11, 890
"f:\GitHub Repositories\JavaButBetter\compiler\Extensions.class", "Java", 0, 43, 0, 0, 0, 0, 43
"f:\GitHub Repositories\JavaButBetter\compiler\Extensions.java", "Java", 0, 149, 0, 0, 0, 3, 152
"f:\GitHub Repositories\JavaButBetter\compiler\JavaBB.class", "Java", 0, 429, 0, 0, 41, 133, 603
"f:\GitHub Repositories\JavaButBetter\compiler\JavaBB.java", "Java", 0, 414, 0, 0, 42, 134, 590
"f:\GitHub Repositories\JavaButBetter\compiler\LangUtil$DoubleRange.class", "Java", 0, 18, 0, 0, 0, 0, 18
"f:\GitHub Repositories\JavaButBetter\compiler\LangUtil$IntRange.class", "Java", 0, 17, 0, 0, 0, 0, 17
"f:\GitHub Repositories\JavaButBetter\compiler\LangUtil$IteratorToIterable.class", "Java", 0, 10, 0, 0, 0, 0, 10
"f:\GitHub Repositories\JavaButBetter\compiler\LangUtil$LongRange.class", "Java", 0, 16, 0, 0, 0, 0, 16
"f:\GitHub Repositories\JavaButBetter\compiler\LangUtil.class", "Java", 0, 95, 0, 0, 0, 0, 95
"f:\GitHub Repositories\JavaButBetter\compiler\LangUtil.java", "Java", 0, 289, 0, 0, 0, 25, 314
"f:\GitHub Repositories\JavaButBetter\compiler\MethodAccess.class", "Java", 0, 18, 0, 0, 0, 0, 18
"f:\GitHub Repositories\JavaButBetter\compiler\MethodAccess.java", "Java", 0, 26, 0, 0, 0, 3, 29
"f:\GitHub Repositories\JavaButBetter\compiler\Null.class", "Java", 0, 6, 0, 0, 0, 0, 6
"f:\GitHub Repositories\JavaButBetter\compiler\Options.class", "Java", 0, 21, 0, 0, 0, 0, 21
"f:\GitHub Repositories\JavaButBetter\compiler\Options.java", "Java", 0, 23, 0, 0, 0, 3, 26
"f:\GitHub Repositories\JavaButBetter\compiler\Parser.class", "Java", 0, 46, 0, 0, 0, 0, 46
"f:\GitHub Repositories\JavaButBetter\compiler\Parser.java", "Java", 0, 90, 0, 0, 0, 3, 93
"f:\GitHub Repositories\JavaButBetter\compiler\Precompiler.class", "Java", 0, 45, 0, 0, 0, 0, 45
